global_step,mcc,train_loss,eval_loss,classification_report
66,0.3542252577178215,1.177520990371704,1.171274341069735,"              precision    recall  f1-score   support

         0.0       1.00      0.05      0.09        21
         1.0       0.91      0.42      0.57        24
         2.0       0.56      0.98      0.71        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.60       100
   macro avg       0.62      0.36      0.34       100
weighted avg       0.71      0.60      0.51       100
"
132,0.4484756428335581,1.2819868326187134,1.0178880324730506,"              precision    recall  f1-score   support

         0.0       0.44      0.86      0.58        21
         1.0       0.90      0.38      0.53        24
         2.0       0.73      0.72      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.63       100
   macro avg       0.52      0.49      0.46       100
weighted avg       0.68      0.63      0.61       100
"
198,0.40545296017576754,0.735397219657898,0.9352122315993676,"              precision    recall  f1-score   support

         0.0       0.42      0.67      0.52        21
         1.0       0.92      0.46      0.61        24
         2.0       0.67      0.74      0.70        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.62       100
   macro avg       0.50      0.47      0.46       100
weighted avg       0.65      0.62      0.61       100
"
264,0.4570018338915606,0.6952699422836304,1.049758684176665,"              precision    recall  f1-score   support

         0.0       0.61      0.67      0.64        21
         1.0       0.59      0.71      0.64        24
         2.0       0.71      0.68      0.69        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.65       100
   macro avg       0.48      0.51      0.49       100
weighted avg       0.62      0.65      0.63       100
"
330,0.4251993898180624,1.2180551290512085,1.276614934206009,"              precision    recall  f1-score   support

         0.0       0.80      0.38      0.52        21
         1.0       0.69      0.46      0.55        24
         2.0       0.62      0.92      0.74        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.65       100
   macro avg       0.53      0.44      0.45       100
weighted avg       0.64      0.65      0.61       100
"
396,0.42961451819920043,0.04864664003252983,1.5831216482015757,"              precision    recall  f1-score   support

         0.0       0.58      0.52      0.55        21
         1.0       0.68      0.54      0.60        24
         2.0       0.66      0.82      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.65       100
   macro avg       0.48      0.47      0.47       100
weighted avg       0.62      0.65      0.63       100
"
462,0.5140766250890669,0.5114901661872864,1.8437728652587304,"              precision    recall  f1-score   support

         0.0       0.68      0.62      0.65        21
         1.0       0.81      0.54      0.65        24
         2.0       0.68      0.88      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.70       100
   macro avg       0.54      0.51      0.52       100
weighted avg       0.68      0.70      0.68       100
"
528,0.5227683045459857,0.6741459369659424,1.6919791161691626,"              precision    recall  f1-score   support

         0.0       0.62      0.62      0.62        21
         1.0       0.68      0.71      0.69        24
         2.0       0.74      0.80      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.70       100
   macro avg       0.51      0.53      0.52       100
weighted avg       0.66      0.70      0.68       100
"
594,0.4194987257621664,0.001845805672928691,1.8054258181498601,"              precision    recall  f1-score   support

         0.0       0.82      0.43      0.56        21
         1.0       0.70      0.58      0.64        24
         2.0       0.68      0.80      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.63       100
   macro avg       0.55      0.45      0.48       100
weighted avg       0.68      0.63      0.64       100
"
660,0.49693556404565176,0.09621073305606842,1.7565752760722086,"              precision    recall  f1-score   support

         0.0       0.63      0.57      0.60        21
         1.0       0.73      0.67      0.70        24
         2.0       0.74      0.80      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.68       100
   macro avg       0.52      0.51      0.52       100
weighted avg       0.68      0.68      0.68       100
"
