global_step,mcc,train_loss,eval_loss,classification_report
66,0.22294773076105792,1.043696641921997,1.1549005691821759,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.58      0.46      0.51        24
         2.0       0.54      0.88      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.55       100
   macro avg       0.28      0.33      0.30       100
weighted avg       0.41      0.55      0.46       100
"
132,0.2740214343155178,1.3075790405273438,1.0615646655742939,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.75      0.38      0.50        24
         2.0       0.55      0.96      0.70        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.57       100
   macro avg       0.32      0.33      0.30       100
weighted avg       0.45      0.57      0.47       100
"
198,0.3638610335222074,1.0472601652145386,1.0069745641488295,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.81      0.54      0.65        24
         2.0       0.57      0.96      0.72        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.61       100
   macro avg       0.35      0.38      0.34       100
weighted avg       0.48      0.61      0.51       100
"
264,0.33778295861844043,1.1747653484344482,1.0410627401792085,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.76      0.54      0.63        24
         2.0       0.57      0.94      0.71        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.60       100
   macro avg       0.33      0.37      0.34       100
weighted avg       0.47      0.60      0.51       100
"
330,0.4942214823311923,0.48828089237213135,0.940479746231666,"              precision    recall  f1-score   support

         0.0       0.55      0.76      0.64        21
         1.0       0.92      0.50      0.65        24
         2.0       0.69      0.80      0.74        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.68       100
   macro avg       0.54      0.52      0.51       100
weighted avg       0.68      0.68      0.66       100
"
396,0.5292687819268268,0.9619565010070801,0.8302639126777649,"              precision    recall  f1-score   support

         0.0       0.56      0.71      0.63        21
         1.0       0.76      0.67      0.71        24
         2.0       0.75      0.78      0.76        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.70       100
   macro avg       0.52      0.54      0.53       100
weighted avg       0.67      0.70      0.68       100
"
462,0.5509022223677603,0.6614850759506226,0.8268656123142976,"              precision    recall  f1-score   support

         0.0       0.70      0.67      0.68        21
         1.0       0.74      0.71      0.72        24
         2.0       0.72      0.82      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.72       100
   macro avg       0.54      0.55      0.54       100
weighted avg       0.68      0.72      0.70       100
"
528,0.5477796116135188,1.1725714206695557,0.9689189338913331,"              precision    recall  f1-score   support

         0.0       0.74      0.67      0.70        21
         1.0       0.79      0.62      0.70        24
         2.0       0.69      0.86      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.72       100
   macro avg       0.55      0.54      0.54       100
weighted avg       0.69      0.72      0.70       100
"
594,0.582491785377687,0.8238846659660339,1.0706811575935438,"              precision    recall  f1-score   support

         0.0       0.74      0.67      0.70        21
         1.0       0.88      0.62      0.73        24
         2.0       0.70      0.90      0.79        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.74       100
   macro avg       0.58      0.55      0.56       100
weighted avg       0.72      0.74      0.72       100
"
660,0.5653171093949599,0.019192714244127274,1.0997762766021948,"              precision    recall  f1-score   support

         0.0       0.72      0.62      0.67        21
         1.0       0.88      0.62      0.73        24
         2.0       0.69      0.90      0.78        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.73       100
   macro avg       0.57      0.54      0.55       100
weighted avg       0.71      0.73      0.71       100
"
